OfficiCardNo	OfficiCardType	status	VehPlate	FreeType	FreeRoadList	Version	StartTime	EndTime	Spare
002428	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002436	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002444	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002451	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002469	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002477	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002485	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002493	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002527	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002535	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002543	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002568	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002576	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002584	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002592	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002600	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002618	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002626	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002634	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002683	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002691	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002709	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002717	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002733	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002741	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002766	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002774	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002782	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002790	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002808	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002816	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002824	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002840	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002857	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002881	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002899	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002907	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002915	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002923	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002931	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002949	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002956	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002964	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002972	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002980	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
002998	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003004	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003012	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003020	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003038	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003046	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003061	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003087	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003095	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003111	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003129	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003137	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003145	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003152	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003160	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003178	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003186	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003202	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003210	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003228	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003236	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003251	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003269	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003277	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003285	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003293	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003301	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003319	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003343	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003350	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003368	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003376	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003384	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003392	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003400	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003418	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003426	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003442	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003459	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003467	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003483	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003491	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003509	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003517	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003525	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003533	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003541	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
