EnRoadId	EnStationId	ExRoadId	ExStationId	VehType	PassType	PassRoadUniqueId	RoadUniqueIdForBridge	PassBridgeId	Miles	Distance	Version	RoadStdVer	BridgeExtVer	TravelTime	StartTime	Spare1	Spare2	Spare3	Spare4
10	16	49	14	2	1	4	0	0	9.796	38.7919	13	13	13	0	2016-04-28 00:00:00				
10	16	49	14	2	1	13	0	0	11.897	38.7919	13	13	13	0	2016-04-28 00:00:00				
10	16	49	14	2	1	29	0	0	17.0989	38.7919	13	13	13	0	2016-04-28 00:00:00				
10	17	49	14	2	1	4	0	0	0.694	29.6899	13	13	13	0	2016-04-28 00:00:00				
10	17	49	14	2	1	13	0	0	11.897	29.6899	13	13	13	0	2016-04-28 00:00:00				
10	17	49	14	2	1	29	0	0	17.0989	29.6899	13	13	13	0	2016-04-28 00:00:00				
10	20	49	14	2	1	4	0	0	12.7375	34.9265	13	13	13	0	2016-04-28 00:00:00				
10	20	49	14	2	1	21	0	0	1.614	34.9265	13	13	13	0	2016-04-28 00:00:00				
10	20	49	14	2	1	29	0	0	9.227	34.9265	13	13	13	0	2016-04-28 00:00:00				
10	20	49	14	2	1	43	0	0	11.348	34.9265	13	13	13	0	2016-04-28 00:00:00				
11	31	49	14	2	1	2	0	0	127.297	192.9871	13	13	13	0	2016-04-28 00:00:00				
11	31	49	14	2	1	13	0	0	13.12	192.9871	13	13	13	0	2016-04-28 00:00:00				
11	31	49	14	2	1	29	0	0	32.5239	192.9871	13	13	13	0	2016-04-28 00:00:00				
11	31	49	14	2	1	63	0	0	20.0462	192.9871	13	13	13	0	2016-04-28 00:00:00				
11	32	49	14	2	1	2	0	0	127.297	178.3049	13	13	13	0	2016-04-28 00:00:00				
11	32	49	14	2	1	13	0	0	13.12	178.3049	13	13	13	0	2016-04-28 00:00:00				
11	32	49	14	2	1	29	0	0	32.5239	178.3049	13	13	13	0	2016-04-28 00:00:00				
11	32	49	14	2	1	63	0	0	5.364	178.3049	13	13	13	0	2016-04-28 00:00:00				
11	36	49	14	2	1	2	0	0	127.297	196.0041	13	13	13	0	2016-04-28 00:00:00				
11	36	49	14	2	1	13	0	0	13.12	196.0041	13	13	13	0	2016-04-28 00:00:00				
